,internal_id,pieces
1,2707, truly she is yet but a babe just born
2,2707," yet she has  a tabernacle, the mountains of israel"
3,2707, her bed is in the cham-  bers of the rocks
4,2707, her garden one of the rich valleys of ephraim   she speaks and her voice is as the voice of god
5,2707, she has a spirit   which burns like flames of fire
6,2707," she has power, and has started   a little stone rolling from the mountain her habitation, which   increases as it goes: it is causing the earth to quake and tremble,   take care ye nations it will grind you to dust"
7,2707," she has messengers  who go and come at her bidding, one of them can chase a thousand   and two put ten thousand to flight, they command the element  &amp; they obey them"
8,2707, she has an ensign for the nations to flee  to
9,2707, she has a law which will soon govern the earth
10,2707, she is   born in the generation that david had a view of
11,2707, o praise   the lord i am a witness that mine eyes have beheld her
12,2707,"   she has keys to open and no man can shut, and shut and no man   can open"
13,2707, her power is from heaven whare she hath noble   senators who plead her cause both day and night
14,2707," this is the  zion i seek after, this is the zion i speak off"
15,2707, her church  is the church of jesus christ of latter day saints
16,2707, the lord has also blest their   land which has brought forth in abundance
17,2707, untill zion shall arive to her full strength of manhood   for brass may she have gold for iron silver for wood brass for stones iron
18,2707,   may her execters and peace officers be righteous men
19,2707, may her nobles be of ephraim  and her govournor procede out of the midst of him
20,2707, may all of her messengers be armed  with righteousness in the power of god in great glory
21,2707, may all of the nations of the earth  fear and tremble because of her law
22,2707, may the wicked find her sons terrible when they go to  battle against her and not have power to stand before them
23,2707," may her dwelling places   be distinguished by a pillar of fire by night and cloud by day, &amp; in fine may she arise   &amp; shine forth and spread herself abroad with all that perfection of beauty power   &amp; glory which has ever been spoken concerning her even to the full expectation of god angels &amp; man   wilford woodruff    "
24,439,   and a   synopsis of vol
25,11456, i was so far gone this morning i had no controll   over myself
26,5502, they  were asked if they were ready for trial they said yes
27,5502, burton said i did not  recognize you though some did ask to be shot but we did not  see fit to shoot any one after the surrender
28,5502, mr ross also  gave his testimony
29,5502," clemgard said, i went to ross and  asked to be slain and save the people ross said that was  true"
30,5502, jones one that was imprisioned testified that clemgard   was the commanding general of their forces during all their  trainings
31,5502, burton and ross both  testified that clemguard said he was the commander  in chief of all the forces
32,2727, saying the following persons had died  of the cholera w
33,2727," gloom reigns on evry side, business is at a complete  stand, all the calafornians have putty much left in a fright  the cholera rages so extensively among some of the emigrating   parties that they do not even stop to bury their dead"
34,2727, corpses  are found wraped in their winding sheets lying along the  road in heeps of five and six together
35,2727, the scene on evry  side is painful and horrible in the extreme
36,4343, he formed a true circle he made each man toe   the mark and keep good order or stay at home you   must be of one heart and one mind for jesus said when   two or three are gathered together in my name and are   agreed as touching any one thing and asked the father in   my name it shall be given unto you now jesus did not   tel a lie and when any prayer is offered up and not answered   it is because you are not agreed in it and their prayers are   not offered in faith and union
37,4343, now this is true and i want  good order and must have it
38,4343, i would rather trust my faith   alone than with company who are not agreed with me      i want the twelve to go to the meeting to morrow night to make  speeches upon the subject of home manufacturing i want the   bishops to organize the wards in such a manner that we can   find the mechanics if there is any man that can take care of   sheep i want him to do it and so with every other branch of   business
39,4343, the   subject of the bank came up and much was said upon the   subject
40,4343, i shook them by the hand   and was glad to see them
41,4343, i asked brother benson how it was in   the states and he said as bad as it could be
42,4343, several songs were   sung then an address by e
43,4343, pratt both   spoke in the spirit of god
44,4343, we had a good meeting    
45,12000,  he is the son of chas
46,12000," grant was taken  to the hospital for a operation for  appendicitis, and that he prayed earnestly  for his recovery"
47,12000, woodruff kindly  ordered a carriage to carry bro
48,12000,"  grant to his home, that showing  his kindly interest in his affected  brother and co-laborer"
49,12000," hunter's  birthday old folks day at saltair, con-  cert in the tabernacle in the even-  ing, for which prest"
50,12000, woodruff wrote  a speech which was read by bro
51,12000, spoke  a few words at the close
52,12000,  sister to mrs augusta grant  in the evening bro
53,12000, grant gave them  a reception at his home but prest
54,88, marriage being an institution  of heaven and honourable in all
55,88, smith sen the patriarch  then blessed us in the name of the lord and  pronounced great blessings upon us and our  posterity
56,88," smith jr was expecting  to solemnize the ceremony, but his life was  so beset and sought for by wicked and ungodly  men for the testimony of jesus, that he was  under the necessity of fleeing from his house  &amp; home for a few days"
57,31,   kimble that the saints recieve a recom  mend to the church in america to moove   in small or large bodies inasmuch   as they desire to emigrate to that new coun  try
58,31, pratt that we recommend no one   to go to america that has money with  out assisting the poor according to our   council from time to time    
59,11593, i spent the day in the house reading
60,11760,"nation, and the devil stirs them   up to defy my power and to make  war upon my saints"
61,11760," therefore,  let mine apostles and mine elders  who are faithful obey my com-  mandments which are already   written for their profit and  guidance"
62,11760," therefore, your   garments are clean of the blood    "
63,769," here i was again dragged to   the united states court, and was cleared   &amp; now it comes again"
64,769, but as often as   god sees fit for me to suffer i am ready   but i am as innocent of these crimes as the   angels in heaven
65,769,  i am not an enemy to manki-  nd i am a friend to mankind
66,2257, i attended the school we had  a hard rainy day and night    
67,632," and belongs to the city &amp; not individuals  i will reprove the lawyers &amp; docters any how  jesus did &amp; evry prophet has &amp; if i am a prophet  i shall do it, at any rate i shall do it for i profess  to be a prophet"
68,632, the laws and constitution of the  united states has ended up the right to corperate  cities to regulate all wharfage of shiping &amp; steem  boats &amp;c all laws of taxation is subject to the  city &amp; not individuals
69,632, and i want from this  time forth evry fool to stay at home and let the steem  boats &amp; captain alone and let the peace officers alone
70,632, a man has been writing to the new york  tribune
