"","internal_id","pieces"
"1",12255," i met with the board of z"
"2",12255,"mi in the forenoon"
"3",12255," i spent the day at home reading i spent the night "
"4",12244," all the family took leave"
"5",12244," after singing"
"6",12244," the meeting was then dismissed "
"7",12244," i think it was the longest procession"
"8",12236," we met with mr dooly who informed us that men"
"9",12226," i am in the enjoyment of good"
"10",12226," this is the last meeting president"
"11",12226," he was quite "
"12",12216," i delivered the last invitations to day to our birth"
"13",12216," i gave his letter"
"14",12208," i went to the office this morning, and attended several "
"15",12208," i spent the day at home with the family"
"16",12208," drove to the office this morning feeling fairly well"
"17",12208," at the office, busy most of the day in the ogden power "
"18",12208," attended a meeting of the directors of z s"
"19",12208," b and trust co"
"20",12208," i attended my usual meeting at "
"21",12208," they are fine"
"22",12208," i drove to the office this morning and remained until"
"23",12203," i also met"
"24",12203,"} i was unwell at nigh"
"25",12203," this is a great relief to us"
"26",12203," i spent the day at home reading and writing"
"27",12203," sunday i spent the day at home reading i dont feel"
"28",12203," times"
"29",12197," sang ""come we that"
"30",12197," we took dinner"
"31",12197," prayer by bp yates"
"32",12197," sang i know that my "
"33",12197," sang ""the lord is risen"""
"34",12197," all went to bro hales"
"35",12197," pres cannon"
"36",12197," pres hinckley"
"37",12197," we slept at bro hales"
"38",12197," sang ""come listen to the trumpeters"" prayer by bro russell"
"39",12197," ^sang^ how beautiful upon the mountains andc"
"40",12197," benediction by"
"41",12197," sang "
"42",12197,""" prayer by bro black"
"43",12197," sang ""we thank thee o god for"
"44",12197," sang ""the spirit of god"""
"45",12197," benediction by pres geo q cannon"
"46",12197," i did not sleep very well"
"47",12197," i had "
"48",12189," i spent the day at home fixing up my journal"
"49",12184," i felt very well in meeting with so"
"50",12184," i attended a meeting of the power dam company"
"51",12184," we received "
"52",12184," i went to the office feeling some better"
"53",12184," i attended my usual meeting"
"54",12184," also "
"55",12184," bros"
"56",12184," wilcken nuttall and hardy at the hotel"
"57",12184," pratt|w"
"58",12184," found "
"59",12184," in the afternoon we all drove to the farm "
"60",12184," after breakfast "
"61",12178," we met "
"62",12177," the body was in "
"63",12177," the family however took a look thereon"
"64",12177," the casket was borne to the hearse and the "
"65",12177," thousands thronged the streets"
"66",12177," the casket was carried by six pall bearers into the"
"67",12177," the family followed "
