"","internal_id","date"
"1",12282,1895-03-01
"2",12277,1895-03-01
"3",12270,1895-03-01
"4",12258,1895-03-01
"5",12255,1895-03-01
"6",12248,1895-03-01
"7",12244,1895-03-01
"8",12240,1895-03-01
"9",12236,1895-03-01
"10",12230,1895-03-01
"11",12226,1895-03-01
"12",12217,1895-02-01
"13",12216,1895-02-01
"14",12208,1897-11-01
"15",12205,1895-02-01
"16",12203,1895-02-01
"17",12197,1897-11-01
"18",12189,1895-02-01
"19",12188,1897-11-01
"20",12184,1897-11-01
"21",12178,1895-01-01
"22",12177,1898-09-01
"23",12173,1895-01-01
"24",12167,1895-01-01
"25",12165,1898-09-01
"26",12163,1898-04-01
"27",12160,1897-11-01
"28",12153,1895-01-01
"29",12148,1898-08-01
"30",12146,1897-11-01
"31",12145,1898-04-01
"32",12142,1895-01-01
"33",12135,1898-08-01
"34",12133,1897-10-01
"35",12132,1898-04-01
"36",12129,1898-08-01
"37",12127,1897-08-01
"38",12125,1897-10-01
"39",12124,1898-04-01
"40",12123,1898-04-01
"41",12120,1898-08-01
"42",12119,1897-08-01
"43",12118,1895-07-01
"44",12117,1898-03-01
"45",12116,1897-10-01
"46",12112,1898-08-01
"47",12111,1895-06-01
"48",12110,1895-06-01
"49",12109,1897-08-01
"50",12108,1894-11-01
"51",12104,1898-03-01
"52",12103,1898-07-01
"53",12101,1897-10-01
"54",12099,1897-10-01
"55",12098,1894-11-01
"56",12097,1895-06-01
"57",12096,1897-08-01
"58",12095,1895-10-01
"59",12094,1898-03-01
"60",12093,1898-07-01
"61",12092,1897-05-01
"62",12090,1897-05-01
"63",12089,1894-11-01
"64",12087,1898-03-01
"65",12086,1897-09-01
"66",12085,1895-10-01
"67",12084,1895-06-01
"68",12083,1897-07-01
"69",12082,1898-06-01
"70",12081,1894-10-01
"71",12079,1897-05-01
"72",12078,1897-09-01
"73",12077,1897-09-01
"74",12076,1898-03-01
"75",12075,1895-06-01
"76",12073,1895-10-01
"77",12072,1897-07-01
"78",12071,1898-06-01
"79",12070,1897-05-01
"80",12069,1894-10-01
"81",12068,1897-09-01
"82",12067,1895-06-01
"83",12065,1895-06-01
"84",12064,1895-10-01
"85",12063,1897-07-01
"86",12061,1897-07-01
"87",12060,1898-06-01
"88",12059,1807-03-01
"89",12058,1894-10-01
"90",12057,1895-05-01
"91",12056,1897-05-01
"92",12055,1897-09-01
"93",12053,1895-09-01
"94",12052,1897-07-01
"95",12051,1898-02-01
"96",12050,1898-05-01
"97",12049,1894-10-01
"98",12047,1895-05-01
"99",12046,1897-05-01
"100",12045,1897-09-01
"101",12044,1897-09-01
"102",12043,1895-09-01
"103",12042,1898-02-01
"104",12041,1897-07-01
"105",12040,1894-07-01
"106",12039,1894-09-01
"107",12038,1897-05-01
"108",12037,1895-05-01
"109",12036,1898-05-01
"110",12035,1897-09-01
"111",12034,1895-09-01
"112",12033,1898-02-01
"113",12032,1898-02-01
"114",12031,1897-07-01
"115",12030,1894-06-01
"116",12029,1894-09-01
"117",12028,1897-05-01
"118",12027,1897-08-01
"119",12026,1895-05-01
"120",12025,1895-08-01
"121",12024,1898-05-01
"122",12023,1897-06-01
"123",12022,1898-02-01
"124",12021,1894-06-01
"125",12020,1897-05-01
"126",12019,1894-09-01
"127",12018,1894-09-01
"128",12017,1897-08-01
"129",12016,1895-08-01
"130",12015,1895-05-01
"131",12014,1898-04-01
"132",12013,1897-06-01
"133",12012,1894-06-01
"134",12011,1897-04-01
"135",12010,1898-01-01
"136",12009,1897-08-01
"137",12008,1895-05-01
"138",12007,1894-06-01
"139",12006,1895-08-01
"140",12005,1894-09-01
"141",12004,1897-06-01
"142",12003,1898-04-01
"143",12002,1897-04-01
"144",12001,1898-01-01
"145",12000,1894-06-01
"146",11999,1894-06-01
"147",11998,1895-04-01
"148",11997,1895-08-01
"149",11996,1897-06-01
"150",11995,1894-08-01
"151",11994,1895-01-01
"152",11993,1897-04-01
"153",11992,1898-01-01
"154",11991,1894-06-01
"155",11990,1895-04-01
"156",11989,1895-04-01
"157",11988,1895-07-01
"158",11987,1897-06-01
"159",11986,1897-06-01
"160",11985,1894-04-01
"161",11984,1897-04-01
"162",11983,1894-08-01
"163",11982,1894-08-01
"164",11981,1894-06-01
"165",11980,1895-07-01
"166",11979,1895-04-01
"167",11978,1895-04-01
"168",11977,1897-06-01
"169",11976,1897-12-01
"170",11975,1894-12-01
"171",11974,1894-12-01
"172",11973,1894-04-01
"173",11972,1894-08-01
"174",11971,1894-08-01
"175",11970,1895-07-01
"176",11969,1894-04-01
"177",11968,1894-04-01
"178",11967,1897-06-01
"179",11966,1895-04-01
"180",11965,1897-12-01
"181",11964,1894-12-01
"182",11963,1895-07-01
"183",11962,1895-07-01
"184",11961,1894-08-01
"185",11960,1894-08-01
"186",11959,1894-03-01
"187",11958,1894-03-01
"188",11957,1894-03-01
"189",11956,1895-07-01
"190",11955,1895-04-01
"191",11954,1895-04-01
"192",11953,1895-04-01
"193",11952,1897-08-01
"194",11951,1894-06-01
"195",11950,1894-06-01
"196",11949,1897-05-01
"197",11948,1895-07-01
"198",11947,1894-12-01
"199",11946,1894-08-01
"200",11945,1894-03-01
"201",11944,1893-12-01
"202",11943,1895-03-01
"203",11942,1895-03-01
"204",11941,1895-07-01
"205",11940,1893-09-01
"206",11939,1894-05-01
"207",11938,1894-03-01
"208",11937,1894-03-01
"209",11936,1894-12-01
"210",11935,1894-07-01
"211",11934,1893-12-01
"212",11933,1895-03-01
"213",11932,1895-07-01
"214",11931,1897-04-01
"215",11930,1893-09-01
"216",11929,1894-05-01
"217",11928,1894-11-01
"218",11927,1895-07-01
"219",11926,1894-03-01
"220",11925,1896-06-01
"221",11924,1893-09-01
"222",11923,1894-07-01
"223",11922,1893-12-01
"224",11921,1895-03-01
"225",11920,1894-05-01
"226",11919,1897-04-01
"227",11918,1897-04-01
"228",11917,1893-09-01
"229",11916,1894-11-01
"230",11915,1894-07-01
"231",11914,1894-03-01
"232",11913,1896-06-01
"233",11912,1893-12-01
"234",11911,1894-05-01
"235",11910,1894-05-01
"236",11909,1893-08-01
"237",11908,1897-04-01
"238",11907,1807-03-01
"239",11906,1894-07-01
"240",11905,1894-03-01
"241",11904,1896-12-01
"242",11903,1893-12-01
"243",11902,1896-06-01
"244",11901,1894-04-01
"245",11900,1896-09-01
"246",11899,1893-08-01
"247",11898,1894-02-01
"248",11897,1896-02-01
"249",11896,1897-04-01
"250",11895,1896-12-01
"251",11894,1893-12-01
"252",11893,1893-12-01
"253",11892,1893-08-01
"254",11891,1893-08-01
"255",11890,1893-08-01
"256",11889,1894-04-01
"257",11888,1896-09-01
"258",11887,1894-02-01
"259",11886,1894-02-01
"260",11885,1896-02-01
"261",11884,1896-12-01
"262",11883,1893-11-01
"263",11882,1893-11-01
"264",11881,1897-04-01
"265",11880,1896-09-01
"266",11879,1894-04-01
"267",11878,1894-04-01
"268",11877,1893-08-01
"269",11876,1894-02-01
"270",11875,1896-06-01
"271",11874,1896-06-01
"272",11873,1896-12-01
"273",11872,1893-11-01
"274",11871,1893-11-01
"275",11870,1896-02-01
"276",11869,1897-04-01
"277",11868,1893-07-01
"278",11867,1896-09-01
"279",11866,1896-05-01
"280",11865,1894-01-01
"281",11864,1896-11-01
"282",11863,1896-11-01
"283",11862,1893-11-01
"284",11861,1896-01-01
"285",11860,1895-05-01
"286",11859,1893-03-01
"287",11858,1897-04-01
"288",11857,1893-07-01
"289",11856,1896-05-01
"290",11855,1896-08-01
"291",11854,1896-11-01
"292",11853,1894-01-01
"293",11852,1893-11-01
"294",11851,1896-01-01
"295",11850,1893-03-01
"296",11849,1893-03-01
"297",11848,1896-05-01
"298",11847,1896-08-01
"299",11846,1896-08-01
"300",11845,1897-04-01
"301",11844,1893-07-01
"302",11843,1894-01-01
"303",11842,1896-11-01
"304",11841,1893-10-01
"305",11840,1896-01-01
"306",11839,1893-03-01
"307",11838,1896-08-01
"308",11837,1896-08-01
"309",11836,1897-03-01
"310",11835,1897-03-01
"311",11834,1894-01-01
"312",11833,1893-07-01
"313",11832,1896-11-01
"314",11831,1896-11-01
"315",11830,1896-01-01
"316",11829,1896-08-01
"317",11828,1893-03-01
"318",11827,1893-10-01
"319",11826,1897-03-01
"320",11825,1897-03-01
"321",11824,1894-01-01
"322",11823,1893-06-01
"323",11822,1893-06-01
"324",11821,1896-01-01
"325",11820,1896-11-01
"326",11819,1896-05-01
"327",11818,1893-10-01
"328",11817,1893-10-01
"329",11816,1789-03-01
"330",11815,1893-02-01
"331",11814,1893-06-01
"332",11813,1894-01-01
"333",11812,1896-08-01
"334",11811,1896-01-01
"335",11810,1896-10-01
"336",11809,1896-05-01
"337",11808,1896-05-01
"338",11807,1897-03-01
"339",11806,1893-01-01
"340",11805,1893-10-01
"341",11804,1893-06-01
"342",11803,1893-06-01
"343",11802,1894-01-01
"344",11801,1894-01-01
"345",11800,1897-03-01
"346",11799,1896-08-01
"347",11798,1896-10-01
"348",11797,1896-04-01
"349",11796,1893-02-01
"350",11795,1893-02-01
"351",11794,1893-02-01
"352",11793,1893-09-01
"353",11792,1893-09-01
"354",11791,1897-02-01
"355",11790,1893-05-01
"356",11789,1896-08-01
"357",11788,1896-10-01
"358",11787,1896-10-01
"359",11786,1896-04-01
"360",11785,1895-12-01
"361",11784,1893-02-01
"362",11783,1893-09-01
"363",11782,1897-02-01
"364",11781,1887-07-01
"365",11780,1893-04-01
"366",11779,1893-04-01
"367",11778,1895-12-01
"368",11777,1896-04-01
"369",11776,1896-10-01
"370",11775,1896-07-01
"371",11774,1893-09-01
"372",11773,1893-01-01
"373",11772,1893-01-01
"374",11771,1897-02-01
"375",11770,1893-04-01
"376",11769,1887-07-01
"377",11768,1887-07-01
"378",11767,1893-09-01
"379",11766,1896-10-01
"380",11765,1895-12-01
"381",11764,1896-07-01
"382",11763,1896-04-01
"383",11762,1893-01-01
"384",11761,1820-05-01
"385",11760,1893-04-01
"386",11759,1893-04-01
"387",11758,1893-09-01
"388",11757,1896-07-01
"389",11756,1896-03-01
"390",11755,1896-03-01
"391",11754,1895-12-01
"392",11753,1893-01-01
"393",11752,1896-10-01
"394",11751,1887-07-01
"395",11750,1893-03-01
"396",11749,1897-01-01
"397",11748,1896-07-01
"398",11747,1896-07-01
"399",11746,1888-09-01
"400",11745,1893-01-01
"401",11744,1893-01-01
"402",11743,1896-03-01
"403",11742,1895-11-01
"404",11741,1897-01-01
"405",11740,1897-01-01
"406",11739,1888-05-01
"407",11738,1896-07-01
"408",11737,1896-07-01
"409",11736,1888-09-01
"410",11735,1896-09-01
"411",11734,1896-03-01
"412",11733,1887-07-01
"413",11732,1897-01-01
