"","internal_id","pieces"
"1",11346,"september 9, 1891 ~ wednesday      sept 9, 1891   i signed 60 recommends i received 30 letters  i met with the bank board we had a hard   rain at night      september 10, 1891 ~ thursday      190 i signed 42 recommends i receivd 18 letters  i had several visiters to day and a hard rain      september 11, 1891 ~ friday      11 i signed 39 recommends i received 20 letter  ^[figure]^ i wrote to       september 12, 1891 ~ saturday      12 i spent most of the day at home i rode up town   &amp; bought of the coop some shades &amp; carpets for the house      september 13, 1891 ~ sunday      13 sunday i spent the day at home resting      september 14, 1891 ~ monday      14 i signed 37 recommends i received 21 letters  i had an interview with judge    &amp; with several other gentlemen      september 15, 1891 ~ tuesday      15 i signed 30 recommends i received 15 letters  [figure] i wrote to  we met   with the zcmi board we met with col    &amp; several jgentlemen      september 16, 1891 ~ wednesday      16 i signed 38 recommends i received 20 letters  [figures] i met in company with prest    the irrigation congress assembly and by the invitation   of that body of men both brother cannon &amp; myself   address them some 500 of them many of them were   introduced to us i am satisfied that much good   will grow out of this assembly to "
"2",11346,"  i attended the consort in the  in the   evening got up to acomodate the irrigation congress      september 17, 1891 ~ thursday      17"
"3",11346," i signed 25 recommends i received 20 letters   [figure] i wrote to  i attended a bank meeting    "
"4",2707,"i cannot close my record upon the signs of the times witof 1848  without turning my eye towards zion, yes zion, which is not   now merely a phantom of the brain or a name, but actually a   living thing"
"5",2707," truly she is yet but a babe just born"
"6",2707," yet she has  a tabernacle, the mountains of israel"
"7",2707," her bed is in the cham-  bers of the rocks"
"8",2707," her garden one of the rich valleys of ephraim   she speaks and her voice is as the voice of god"
"9",2707," she has a spirit   which burns like flames of fire"
"10",2707," she has power, and has started   a little stone rolling from the mountain her habitation, which   increases as it goes: it is causing the earth to quake and tremble,   take care ye nations it will grind you to dust"
"11",2707," she has messengers  who go and come at her bidding, one of them can chase a thousand   and two put ten thousand to flight, they command the element  &amp; they obey them"
"12",2707," she has an ensign for the nations to flee  to"
"13",2707," she has a law which will soon govern the earth"
"14",2707," she is   born in the generation that david had a view of"
"15",2707," o praise   the lord i am a witness that mine eyes have beheld her"
"16",2707,"   she has keys to open and no man can shut, and shut and no man   can open"
"17",2707," her power is from heaven whare she hath noble   senators who plead her cause both day and night"
"18",2707," this is the  zion i seek after, this is the zion i speak off"
"19",2707," her church  is the church of jesus christ of latter day saints"
"20",2707," her city   was sought in 1847 and the lord has favored her from that   that time"
"21",2707," and during the year 1848 the church has been  organized with a first presidency of three persons viz [[brigham young|brigham   young]], , who have gatherd   to the mountains of israel, in the [[salt lake valley, mexican cession territory|valley of the great salt   lake]], great basin north america, and taken with them   some three thousand souls with their flocks and herds, which   makes a population of about seven thousand souls in the   city of the great salt lake"
"22",2707," the lord has also blest their   land which has brought forth in abundance"
"23",2707," and while the lord   has been multiplying blessing upon zion in her quiete habitation  her messengers have been crying aloud to the nations of   the earth and the isles of the sea preaching the gospel unto them  and uttering their testimony in the power of god and the   gift of the holy ghost untill they have gatherd their thousands   together untill one of the twelve apostles of the lamb ([[orson pratt|orson   pratt]]) estimates that it will take three hundred ships to remove  the saints from the  alone to zion"
"24",2707," the saints who   were gather into the  have discoverd   such vast mines of gold silver copper and other precious ores that  the report of it is creating great excitement throughout the world   esspecially in the united states untill tens of thousands are rushing to  the gold regions to try to obtain the precious mettal"
"25",2707," and as the hand  of god has been so visible in all the signs of 1848 may he continue his work   through 1849 and all following years untill his arm shall be made bare   in the eyes of all nations"
"26",2707," untill zion shall arive to her full strength of manhood   for brass may she have gold for iron silver for wood brass for stones iron"
"27",2707,"   may her execters and peace officers be righteous men"
"28",2707," may her nobles be of ephraim  and her govournor procede out of the midst of him"
