"","internal_id","pieces"
"1",2707," truly she is yet but a babe just born"
"2",2707," yet she has"
"3",2707," her bed is in the cham-"
"4",2707," her garden one of the rich valleys of ephraim "
"5",2707," she has a spirit "
"6",2707," she has power, and has started "
"7",2707," she has messengers"
"8",2707," she has an ensign for the nations to flee"
"9",2707," she has a law which will soon govern the earth"
"10",2707," she is "
"11",2707," o praise "
"12",2707," her power is from heaven whare she hath noble "
"13",2707," this is the"
"14",2707," her church"
"15",2707," her city "
"16",2707," the lord has also blest their "
"17",2707," and while the lord "
"18",2707," the saints who "
"19",2707," and as the hand"
"20",2707," untill zion shall arive to her full strength of manhood "
"21",2707," may her nobles be of ephraim"
"22",2707," may all of her messengers be armed"
"23",2707," may all of the nations of the earth"
"24",2707," may the wicked find her sons terrible when they go to"
"25",2707," may her dwelling places "
"26",1580," there were present"
"27",1580," benson and erastus ^lorenzo^ snow were "
"28",1580," pratt o"
"29",1580," pratt "
"30",439,"willford woodruff's"
"31",5384," we then travelled to"
"32",5384," woodruff"
"33",5384," i continued"
"34",11456," george temple, st"
"35",11456," i was so far gone this morning i had no controll "
"36",11456," i lost my memory and some thought i "
"37",1077,"wo is me if i preach not the gospel"
"38",1077," for on this glorious"
"39",1077," and that men would bow at my feet"
"40",1077," when"
"41",1077," even so let it be amen"
"42",11011," the judgments of god await this nation and"
"43",5502," they"
"44",5502," burton said i did not"
"45",5502," mr ross also"
"46",5502," clemgard said, i went to ross and"
"47",5502," jones one that was imprisioned testified that clemgard "
"48",5502," burton and ross both"
"49",5502," the court then adjourned sine die"
"50",5502," we gave "
"51",5502," i attended meeting through the day"
"52",5502," i attended the "
"53",5502,"} ****"
"54",2727," wade|w w"
"55",2727," louis, st"
"56",2727," elder appleby has been a faithful labourer in the"
"57",2727," saying the following persons had died"
"58",2727," gloom reigns on evry side, business is at a complete"
"59",2727," corpses"
"60",2727," the scene on evry"
"61",11851," we organized a sindicate"
"62",11851," the land was sold to the"
"63",4343," he formed a true circle he made each man toe "
"64",4343," now this is true and i want"
"65",4343," i would rather trust my faith "
"66",4343," the "
"67",4343," i shook them by the hand "
"68",4343," i asked brother benson how it was in "
"69",4343," brother benson "
"70",4343," he also "
"71",4343," several songs were "
"72",4343," benson followed by o"
"73",4343," pratt both "
"74",4343," we had a good meeting"
"75",10725," piper|a"
"76",10725," there was a large assembly"
"77",10725," a large "
"78",10725," i spent the night at the field we had a hard"
"79",10725," george temple, st"
"80",12000," a deacon"
"81",12000,"  he is the son of chas"
"82",12000," heber j"
"83",12000," grant was taken"
"84",12000,"  upon bro"
"85",12000," grant's"
"86",12000," woodruff kindly"
"87",12000," hunter's"
"88",12000," woodruff wrote"
"89",12000,"  prest w"
"90",12000," spoke"
"91",12000,"  sister to mrs augusta grant"
"92",12000," grant gave them"
"93",6254," i spent the day making fence and getting out manure"
"94",6254," sunday i met with my quorum in the circle i received"
"95",6254," president young was"
"96",88," woodruff"
"97",88," marriage being an institution"
"98",88," i accordingly"
"99",88," we were married at the house of"
"100",88," smith sen the patriarch"
"101",88," president"
"102",88," smith jr was expecting"
"103",88," o when will the"
"104",88," the whole company consisting"
"105",88," smiths"
"106",6118," a plessant day good sleighing"
"107",6118," congressmen continue to"
"108",6118," telegrams this evening say congress did"
"109",6118," he fell from an engine while painting"
"110",11515," george temple, st"
"111",11515," it was saturday"
"112",11515," it has been among the most pleasing"
"113",31,"for the church"
"114",31," by er willford "
"115",31," mooved by elder b"
"116",31," young second"
"117",31," pratt that we recommend no one "
"118",11593," i spent the day in the house reading"
"119",11593," the carpen-"
"120",11593," our cow "
"121",11760,"nation, and the devil stirs them "
"122",11760," therefore,"
"123",11760," therefore, your "
"124",6433," i spent the day in council"
"125",769,"have been a peaceable citizen but "
"126",769," here i was again dragged to "
"127",769," but as often as "
"128",769,"  i am not an enemy to manki-"
"129",769," i ^am^ not an enemy "
"130",769," when we came "
"131",769," again their were many "
"132",2257," it was a hard rainy "
"133",2257," i met with the presidency and twelve for prayer &amp; "
"134",2257," i attended the school we had"
"135",632,"beach"
"136",632," and belongs to the city &amp; not individuals"
"137",632," the laws and constitution of the"
"138",632," and i want from this"
"139",632," a man has been writing to the new york"
"140",632," i will not mention his name"
"141",632," he says"
"142",632," but i will rest myself and give way for"
"143",632," he said"
"144",5547," what is the history"
"145",5547," the four evangelist "
"146",5547," as near as we can learn luke kept"
"147",5547," then paul wrote his epistles to the various "
"148",5547," now should we"
"149",5547," this church and kingdom is organized in all "
"150",10985," asahel had a great"
"151",10985," hart|j"
"152",2742," it lasted untill night"
"153",2742," the last european "
"154",2742," eldredge|thomas f"
"155",6259," woodruff had been ordained so we both stood "
"156",6259," i preached in the afternoon one hour and"
"157",4512," there seemed to be sumthing"
"158",4512," brother kimball and myself"
"159",4512," grant preached"
"160",4512," richards who bore testimony to the words which"
"161",4512," he was followed by w"
"162",4512," woodruff who also"
"163",4512," i spent the afternoon"
"164",2504," our cows run away"
"165",10971," hart|j"
"166",10971," i wrote letter"
"167",10971," i spent the"
"168",6220," i spent the fore part of the day hoeing corn in the afternoon "
"169",6220," and m"
"170",880,"this was truly an interesting time more "
"171",880," it has been hard for me to live on"
"172",880," it may be the case "
"173",880," some has supposed "
"174",886,"|joseph "
"175",1163," he was "
"176",1163," president smith made an "
"177",1163," i had "
"178",6219," we held a meeting with the people and organized them "
"179",6219," i stoned up the well and made a curb around it"
"180",6219," i met with"
"181",6355," it is true we should "
"182",6355," we enjoy privileges that "
"183",6355," george temple, st"
"184",6355," what do you suppose the fathers "
"185",324," a wrought iron peterara time of edward iv"
"186",324," a highly ornamented english cannon made for "
"187",1136,"there was no bell here to toll"
"188",1136," i thought i could not live without "
"189",1136," it is a trial to me, but the lord "
"190",1136," it is hard living without her she used to call "
"191",1136," she eat "
"192",1136," to day willford and i with quite a number "
"193",1136," i can say that the lord gave and the lord hath "
"194",1136," woodruff"
"195",3066,"concerning the organizing of the church and appointing a first"
"196",3066," he wished all"
"197",3066," and we were "
"198",3066," woodruff and carried unanimously"
"199",3066," president young"
"200",3066," and if the twelve were going"
"201",3066," our counsel adjourned"
