"","internal_id","pieces","date"
"1",31,"for the church. mooved by er  and  sec. by er  that a committy of three   be appointed to make a selection of hymns  mooved by er  &amp; seconded. by er willford   woodruff that elder  er p p   pratt &amp; er  form the committy for   the selection of the hymns      mooved by er    that the name of the periodical be   the latter day saints milleniam star      mooved by er brigham young secd by elr orson   pratt that the size of the paper its plan &amp;   price be left at the disposal of the editor  mooved by er brigham young secd by elr h. c.   kimble that the saints recieve a recom  mend to the church in america to moove   in small or large bodies inasmuch   as they desire to emigrate to that new coun  try. mooved by elder b. young second. by   elr p. p. pratt that we recommend no one   to go to america that has money with  out assisting the poor according to our   council from time to time    ",NA
"2",88," matrimony.      willford. woodruff. born march st       . born march th       april ,  ",1837-04-13
"3",88," thursday      april. th . marriage being an institution  of heaven and honourable in all. i accordingly  accepted the honour upon this memorial day,  by joining hands with miss   in the bonds of  and took upon ourse-  lves the . elder [[jonathan harriman holmes|johnathan  holmes]] also took the same responsibility  upon himself at the same time by giving his hand  to miss  in the marriage coven  ant. we were married at the house of  president  the ceremony  was solemnized by president [[frederick granger williams|frederick g.  williams]] president. j. smith sen the patriarch  then blessed us in the name of the lord and  pronounced great blessings upon us &amp; our  posterity. president. j. smith jr was expecting  to solemnize the ceremony, but his life was  so beset &amp; sought for by wicked and ungodly  men for the testimony of jesus, that he was  under the necessity of fleeing from his house  &amp; home for a few days. o when will the  prophets of god rest upon the earth.      we were married at  oclock pm  and at  pm. the whole company consisting  of about  couple walked from president  j. smiths. to president  whare we  were gratifyed with the privilege of seeing elder   also  joined in matrimony by president f g williams  the company dispersed at the sitting of the  sun i spent the night at president joseph  smiths may the lord bless us all with salvation    ",1837-04-13
"4",120,"may ,  ",1844-05-28
"5",120," tuesday      th we rode to  the finest town we   saw since we left , the improvements are   after the eastern fashion, from thence to    a small village we turned to the right to cross a logway  about a mile long through a ceder swamp our   nigh horse stept between two polls and sunk in the mire   &amp; fell we laboured hard to get him out for near    minutes we had fears he would break his leg we   had to draw him out by main strength but he   got out unharmed, we led the horses across &amp; drew   the wagon by hand, the musketoes covered ua   almost like a cloud after harnessing up, we rode   a few rods &amp; came to br    whare we found father bent &amp; br miles we spent   the night here. i had the following dream        i was passing by my house with my cloak on &amp;   i saw br  i asked whare   mrs  was the answer was in her room   but she has company. i walked in to see her &amp;   found her in company with two females, it appeared   like some of our friends from the east i thought   she appeared at first some unwell. i asked her how   she did she said i get along vary well. i told her i   had not herd from her since i left home, she   remarked i wrote you a letter day before yesterday   which would have been on the th of may i did   not see the children  mi      may ,  ",1844-05-29
"6",120," wednesday      th we walked to elder  the presiding   elder of the church, we copied the following from   the session laws of ed into   three congressional districts as follows to wit   the counties of    and hillsdale, first district, and branch,   , allegan,   barry, ionia, eaton, kent, ottaway, oceana, newaygo, mecosta    ",1844-05-29
"7",143,"my heavenly father in the name of jesus christ   and by virtue of the holy priesthood and the   keys of the kingdom of god that he would spedily   avenge the blood of  the prophet seer   and revelator, and  the patriarch, which   had been shed by the hands of the american   gentile nation, upon all the heads of the nation and   state that have aided, abeted or perpetrated the   horid deed, of sheding the blood of those righteous   men even the lords anointed. i prayed that   god would preserve our lives and enabled and  us to fill our mission in righteousness and be   enabled to again return to this land and tread the   courts of the lords house in peace and recieve   blessings at his hand. and that a double portion   of the spirit of josephs god might rest upon   president  and upon the quorum   of the twelve in connexion with him, that   they may have power to bear off the keys of the   kingdom of god in all the world, in righteous-  ness and truth according to the power of god.   and that the work of the ministry, and power   of the priesthood, may rest upon all the quorums of   the church and elders of israel. i dedicated myself   my family, and all appertaining unto me, unto god   committing my all into his hands, for the mission   praying for his blessing to rest upon me through   the mission appointed unto me in the name   of jesus christ amen.        after prayers we again desended to the ground   returned to our homes with joy and peace in   our hearts    ",1844-05-29
"8",216," born nov .  married to   dughter of  wilford and . jan .             names          births          marriages          deaths          age                         minuts to  oclock mar st           nov rd                         oct                          dec st                         sept    m pst  oclok                        nov.                march    oclok noon                   died june .        born oct .        born dec. .  at  minuts pst  oclk a.m.      died  oclok am jan .  age  month  day       . dec        march    m pst . am    ",1844-05-29
"9",228,"january ,  ",1842-01-01
"10",228," saturday      january st,     i spent this new years day in company   with the quorum of the twelve and with our wives   in the city of   it was an interesting day unto us to once more   assemble to a feast with our quorum &amp; our families   in a city of the saints in the midst of peace &amp; love   we more highly prized this privilege as we are   called to be seperate so much while in the vineyard   of the lord. we have been spared to commence   annother new year while many of our near &amp; dear   friends are dead  sleep in the grave. whare the   next new year will find us the lord ownly knoweth  i pray my heavenly father in the name of jesus   christ to keep us from evry vain speculation &amp; evil   &amp; give us wisdom to govern us in all our temporal   affairs as well as spiritual, that we may not run   into any sins, evils or snares. it now seems to   be my privilege &amp; lot to spend a season at home &amp; pro-  vide for my family it being the first time i have   had the privilege since i have been in the church as   my lot has been cast in the vineyard most of the   time for the last eight years. as we have now a   commandment from the lord resting upon us to   build the  it is   probable that our quorum will spend most of the   time in nauvoo untill the temple is built &amp; i shall   endeavour to record those things spiritual &amp; temporal   which i consider the most beneficial to mankind...    i spent the evening in the city council untill near midni-  ght then parted with each other &amp; returned to our homes    january ,  ",1842-01-02
"11",228," sunday      nd sunday i attended meeting at the house of [[joseph smith jr.|jose-  ph]] the seer. president  preached  i followed him with an exhortation. i also preached   in the evening at his house",1842-01-02
"12",240,"takes its flight for the realities of the eternal   world are resting upon him in mighty power and  when evry earthly support &amp; prop fails him, he   then sensibly feels the eternal truths of the imm-  ortality of the soul. *also the doctrin of baptizi-  ng children or sprinkling them or they must   welter in hell is a doctrin not true not supported   in holy writ &amp; is not consistant with the character   of god. the moment that children leave this world   they are taken to the bosom of abraham. the   ownly difference between the old &amp; young dying   is one lives longer in heaven &amp; eternal light   &amp; glory than the other &amp; was freed a little sooner   from this miserable wicked world. notwithstanding   all this glory we for a moment loose sight of it &amp;  mourn the loss but we do not mourn as those   without hope.  * (we should take warning &amp; not wait   for the death bed to repent) as we se the infant   taken away by death, so may the youth &amp; middle aged   as well as the infant suddenly be called into   eternity. let this then proove as a warning to all   not to procrastinate repentance or wait till a death   bed, for it is the will of god that man should repent   &amp; serve him in health &amp; in the strength &amp; power   of his mind in order to secure his blessings &amp; not wait   untill he is called to die.    ""my intention (says the )   was to have treated upon the subject of baptism,   but having a case of death before us, i thought it   proper to refer to that subject. i will now however   say a few words upon that subject baptism as intended  god has made certain decreas which are fixed &amp; unalt-  erable, for instance god set the sun, the moon,   the stars in the heavens, &amp; gien them their laws   conditions, &amp; bounds which they cannot pass except   by his command, they all move in perfect harmony   in there sphere &amp; order &amp; are as wonders, lights &amp;   signs unto us. the sea also has its bounds which   it cannot pass god has set many signs in the earth   as well as in heaven for instance the oaks of the forest   the fruit of the tree, the herd of the field all bear a   sign that seed hath been planted there.",1842-01-02
"13",301,NA,1842-01-02
"14",324,". a wrought iron peterara time of edward iv.   . part of an iron gun which as a chamber to a gun  . a  pounder brass cannon  feet long time of henry  - vii. ad .  . a  pounder brass cannon  feet  inches long  of the emperor charles v. ad   . a  pounder brass cannon weighing upwards   of  tons said to have been used on the lower   deck of the ship of war called the great harra  it bears date ad .  . a  / pounder flat gun of brass with  bores   time of henry viii having receptacles for chamb  ers from which the charge was fired.  . an octagon shaped  pounder brass connon tim   of henry viii.  . a brass cannon having  bores time of henry viii  . a  pounder brass cannon time of edward vi.   . a  pounder brass cannon (dutch) time  of elizabeth ad   . a  pounder brass chamber gun time of elizabeth  .  / inch brass mortar time of james i.   also a variety of old shot and a wrought iron  carcase now obsolute  . a highly ornamented english cannon made for   henry prince of wales son of james i.   . a handsome  pounder english brass cannon   made for charles prince of wales   : a brass ornamented  pounder cannon times   of charles ii. ad   . a  pounder brass gun, with  bores, taken at  cherbourg ad  the battle of ramilies tim  . a  pounder brass cannon much ornamented  taken at cherbourg ad   . a brass light  pounder gun time of george ii.    a  pounder fine brass cannon  feet long   brought from java, ad.    . an iron  pounder upon its original carriage  .  a brass  pounder recovered in the year    from the wreck of the royal george.  by  the ingenious diving apparatus employed by mr   g. a. deane, having lain under water  years.  ( his majesty's ship royal george while lying on   the keel at spithead on the th aug  and   preparing for sea heaving on board a great numb  er of visitors, as well as a full crew, was thrown",1842-01-02
"15",329,"december ,  ",1840-12-13
"16",329," sunday    dec th sunday we met with the saints   at  oclock and broke bread unto them elder    preached at , and i preached at   half past six we had a good time all day, there   is begining to be more interest manifest in    than ever before    december ,  ",1840-12-14
"17",329," monday    :   i spent the day in writing and had an interesting   prayr meeting at our meeting room mr    was present &amp; recieved our testimony   &amp; spoke in favor &amp; we walked home with   him &amp; found his houshold believing    th  &amp;   one to  with elder kimball    december ,  ",1840-12-15
"18",329," tuesday    th  i received a letter from br griffiths   at  i spent the day in writing   in my journal the history of london tower    december ,  ",1840-12-16
