"internal_id","text","verse_short_title","probability","V1","date","book_title","scripture_text"
12012,"the tares while the blade is yet tender lest you destroy the wheat also wait untill","D&C 86:6",0.761643808,133,1894-06-01,"Doctrine and Covenants","But the Lord saith unto them, pluck not up the tares while the blade is yet tender (for verily your faith is weak), lest you destroy the wheat also."
12012,"the wheat is gathered and the tares bound in bundles then the field rem aine to","D&C 86:7",0.707860541,133,1894-06-01,"Doctrine and Covenants","Therefore, let the wheat and the tares grow together until the harvest is fully ripe; then ye shall first gather out the wheat from among the tares, and after the gathering of the wheat, behold and lo, the tares are bound in bundles, and the field remaineth to be burned."
12038,"him and in some writing i wished to send to he took some strawberry plants i","D&C 76:100",0.538784831,107,1897-05-01,"Doctrine and Covenants","These are they who say they are some of one and some of another--some of Christ and some of John, and some of Moses, and some of Elias, and some of Esaias, and some of Isaiah, and some of Enoch;"
12007,"apostles amp inspird men and spoke as they were moved upon by the holy ghost and","D&C 68:3",0.491264574,138,1894-06-01,"Doctrine and Covenants","And this is the ensample unto them, that they shall speak as they are moved upon by the Holy Ghost."
12014,"of commodore dewey s diestruction of the spanish fleet at manilla on the rd inst sun","D&C 88:7",0.478761131,131,1898-04-01,"Doctrine and Covenants","Which truth shineth. This is the light of Christ. As also he is in the sun, and the light of the sun, and the power thereof by which it was made."
12038,"and directed as to some plowing bro came i had some talk on private matters wi","D&C 76:100",0.47839476,107,1897-05-01,"Doctrine and Covenants","These are they who say they are some of one and some of another--some of Christ and some of John, and some of Moses, and some of Elias, and some of Esaias, and some of Isaiah, and some of Enoch;"
12070,"h b clawson called wi his grandson prepared to exhibit some feats in hypnotizm he had","D&C 76:100",0.476130154,79,1897-05-01,"Doctrine and Covenants","These are they who say they are some of one and some of another--some of Christ and some of John, and some of Moses, and some of Elias, and some of Esaias, and some of Isaiah, and some of Enoch;"
12036,"at oasis at pm amp had dinner at bro bp william h pratt w h pratt","D&C 52:26",0.472615673,109,1898-05-01,"Doctrine and Covenants","And let my servants Parley P. Pratt and Orson Pratt take their journey, and preach by the way, even unto this same land."
12038,"till am amp had some naps had some frost last night nipped the lucerne i rested","D&C 76:100",0.46699615,107,1897-05-01,"Doctrine and Covenants","These are they who say they are some of one and some of another--some of Christ and some of John, and some of Moses, and some of Elias, and some of Esaias, and some of Isaiah, and some of Enoch;"
12063,"the funeral of elder geo g bywater and that speakers bp wal ter beathe elder areluis","D&C 21:11",0.451921553,85,1897-07-01,"Doctrine and Covenants","This being an ordinance unto you, that you are an elder under his hand, he being the first unto you, that you might be an elder unto this church of Christ, bearing my name--"
