internal_id,text,verse,probability
12012,the tares while the blade is yet tender lest you destroy the wheat also wait untill,D&C 86:6,0.761643807504686
12012,the wheat is gathered and the tares bound in bundles then the field rem aine to,D&C 86:7,0.7078605408771768
12038,him and in some writing i wished to send to he took some strawberry plants i,D&C 76:100,0.5387848312957303
12007,apostles amp inspird men and spoke as they were moved upon by the holy ghost and,D&C 68:3,0.4912645737765189
12014,of commodore dewey s diestruction of the spanish fleet at manilla on the rd inst sun,D&C 88:7,0.4787611311044099
12038,and directed as to some plowing bro came i had some talk on private matters wi,D&C 76:100,0.47839476028263733
12070,h b clawson called wi his grandson prepared to exhibit some feats in hypnotizm he had,D&C 76:100,0.4761301536617001
12036,at oasis at pm amp had dinner at bro bp william h pratt w h pratt,D&C 52:26,0.472615673031596
12038,till am amp had some naps had some frost last night nipped the lucerne i rested,D&C 76:100,0.4669961499997574
12063,the funeral of elder geo g bywater and that speakers bp wal ter beathe elder areluis,D&C 21:11,0.4519215525535729
12008,amp dedicated his house to the lord amp all the presidency made speeches i spent the,D&C 94:7,0.44824098856034045
12055,car at grants pass johine county oregon grants pass this is a good sized city travel,D&C 76:117,0.4475619943246367
12063,in the afternoon he went to saltair wi prest geo q cannon,Mosiah 20:7,0.4443780690624498
12029,the meeting at the spoke some minutes amp w woodruff mi some upon politics at the,D&C 76:100,0.43789479447165125
12064,went to the wi the presidency amp twelve we partook of the sacrament together the presidency,D&C 94:3,0.4367954042225671
12047,i received a letter from brother amp a telegram from amp amp a letter from a,D&C 44:1,0.4307351822404097
12017,all day morning bro returned from this evening he reported the work inon house as progressing,Alma 34:21,0.4282644058802492
12063,and mazie barkley he had bro nuttall read to them the wonderful manifesta tions given him,D&C 84:66,0.4266354237551246
12016,office had many callers i went to the wi amp i returned to the office amp,D&C 107:68,0.4251363460272806
12012,the prophet joh sealed upon the heads of the twelve apostles all the keys of the,1 Ne. 14:20,0.42461932326620844
12037,had received and esspecially the glory of the i wrote letters amp sent figures one to,Alma 54:15,0.421944445203789
12017,to the office today bro brought down the proof sheets of my sermon yesterday and read,Morm. 9:9,0.4216941331347488
12007,the book of mormon amp drins amp covenants the men who made these larations were prophets,Morm. 1:1,0.42150481407578855
12041,better madam mountford elder staid wi me all night i had a fairly good night and,Hel. 14:4,0.41896719109723757
12039,prest in opened by prayer spoke m afternoon prayer by l snow spoke spoke m spoke,D&C 29:10,0.41856101565202936
